Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-03-18 00:00:00-04:00,175.72000122070312,178.6699981689453,170.05999755859375,172.27999877929688,171.84771728515625,230711000,0.0,0.0,2024-09-20,6mo,1wk
2024-03-25 00:00:00-04:00,170.57000732421875,173.60000610351562,169.4499969482422,171.47999572753906,171.0497283935547,237622700,0.0,0.0,2024-09-20,6mo,1wk
2024-04-01 00:00:00-04:00,171.19000244140625,171.9199981689453,168.22999572753906,169.5800018310547,169.15451049804688,239021300,0.0,0.0,2024-09-20,6mo,1wk
2024-04-08 00:00:00-04:00,169.02999877929688,178.36000061035156,167.11000061035156,176.5500030517578,176.10702514648438,322249600,0.0,0.0,2024-09-20,6mo,1wk
2024-04-15 00:00:00-04:00,175.36000061035156,176.6300048828125,164.0800018310547,165.0,164.58599853515625,309039200,0.0,0.0,2024-09-20,6mo,1wk
2024-04-22 00:00:00-04:00,165.52000427246094,171.33999633789062,164.77000427246094,169.3000030517578,168.87521362304688,241302700,0.0,0.0,2024-09-20,6mo,1wk
2024-04-29 00:00:00-04:00,173.3699951171875,187.0,169.11000061035156,183.3800048828125,182.9198760986328,441926300,0.0,0.0,2024-09-20,6mo,1wk
2024-05-06 00:00:00-04:00,182.35000610351562,185.08999633789062,180.4199981689453,183.0500030517578,182.59071350097656,300675100,0.25,0.0,2024-09-20,6mo,1wk
2024-05-13 00:00:00-04:00,185.44000244140625,191.10000610351562,184.6199951171875,189.8699951171875,189.65048217773438,288966500,0.0,0.0,2024-09-20,6mo,1wk
2024-05-20 00:00:00-04:00,189.3300018310547,192.82000732421875,186.6300048828125,189.97999572753906,189.76034545898438,208619700,0.0,0.0,2024-09-20,6mo,1wk
2024-05-27 00:00:00-04:00,191.50999450683594,193.0,189.10000610351562,192.25,192.02772521972656,230454300,0.0,0.0,2024-09-20,6mo,1wk
2024-06-03 00:00:00-04:00,192.89999389648438,196.94000244140625,192.52000427246094,196.88999938964844,196.66236877441406,245994400,0.0,0.0,2024-09-20,6mo,1wk
2024-06-10 00:00:00-04:00,196.89999389648438,220.1999969482422,192.14999389648438,212.49000549316406,212.2443389892578,635755100,0.0,0.0,2024-09-20,6mo,1wk
2024-06-17 00:00:00-04:00,213.3699951171875,218.9499969482422,207.11000061035156,207.49000549316406,207.2501220703125,506265500,0.0,0.0,2024-09-20,6mo,1wk
2024-06-24 00:00:00-04:00,207.72000122070312,216.07000732421875,206.58999633789062,210.6199951171875,210.37648010253906,335969500,0.0,0.0,2024-09-20,6mo,1wk
2024-07-01 00:00:00-04:00,212.08999633789062,226.4499969482422,211.9199981689453,226.33999633789062,226.07830810546875,216231300,0.0,0.0,2024-09-20,6mo,1wk
2024-07-08 00:00:00-04:00,227.08999633789062,233.0800018310547,223.25,230.5399932861328,230.27345275878906,287546800,0.0,0.0,2024-09-20,6mo,1wk
2024-07-15 00:00:00-04:00,236.47999572753906,237.22999572753906,222.27000427246094,224.30999755859375,224.0506591796875,278397600,0.0,0.0,2024-09-20,6mo,1wk
2024-07-22 00:00:00-04:00,227.00999450683594,227.77999877929688,214.6199951171875,217.9600067138672,217.7080078125,242932200,0.0,0.0,2024-09-20,6mo,1wk
2024-07-29 00:00:00-04:00,216.9600067138672,225.60000610351562,215.75,219.86000061035156,219.60580444335938,296061500,0.0,0.0,2024-09-20,6mo,1wk
2024-08-05 00:00:00-04:00,199.08999633789062,216.77999877929688,196.0,216.24000549316406,215.99000549316406,342088200,0.0,0.0,2024-09-20,6mo,1wk
2024-08-12 00:00:00-04:00,216.07000732421875,226.8300018310547,215.60000610351562,226.0500030517578,225.7886505126953,214898200,0.25,0.0,2024-09-20,6mo,1wk
2024-08-19 00:00:00-04:00,225.72000122070312,228.33999633789062,223.0399932861328,226.83999633789062,226.83999633789062,188124900,0.0,0.0,2024-09-20,6mo,1wk
2024-08-26 00:00:00-04:00,226.75999450683594,232.9199981689453,223.88999938964844,229.0,229.0,209486100,0.0,0.0,2024-09-20,6mo,1wk
2024-09-02 00:00:00-04:00,228.5500030517578,229.0,217.47999572753906,220.82000732421875,220.82000732421875,179069200,0.0,0.0,2024-09-20,6mo,1wk
2024-09-09 00:00:00-04:00,220.82000732421875,224.0399932861328,216.7100067138672,222.5,222.5,237622900,0.0,0.0,2024-09-20,6mo,1wk
2024-09-16 00:00:00-04:00,216.5399932861328,231.9199981689453,213.9199981689453,231.68499755859375,231.68499755859375,284975012,0.0,0.0,2024-09-20,6mo,1wk
