Date,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,collection_date,period,granularity
2024-09-10 00:00:00-04:00,676.8699951171875,680.5900268554688,665.8099975585938,673.6199951171875,673.6199951171875,2079200,0.0,0.0,2024-10-09,1mo,1d
2024-09-11 00:00:00-04:00,677.4600219726562,682.969970703125,660.7999877929688,681.469970703125,681.469970703125,2391900,0.0,0.0,2024-10-09,1mo,1d
2024-09-12 00:00:00-04:00,684.9199829101562,694.8800048828125,682.2000122070312,686.7999877929688,686.7999877929688,2588400,0.0,0.0,2024-10-09,1mo,1d
2024-09-13 00:00:00-04:00,680.010009765625,699.6400146484375,680.0,697.0599975585938,697.0599975585938,2276500,0.0,0.0,2024-10-09,1mo,1d
2024-09-16 00:00:00-04:00,700.0,703.02001953125,688.6300048828125,696.5,696.5,1843700,0.0,0.0,2024-10-09,1mo,1d
2024-09-17 00:00:00-04:00,700.8200073242188,707.6300048828125,698.3699951171875,706.9099731445312,706.9099731445312,2298600,0.0,0.0,2024-10-09,1mo,1d
2024-09-18 00:00:00-04:00,707.5499877929688,707.5499877929688,688.0,690.469970703125,690.469970703125,2984400,0.0,0.0,2024-10-09,1mo,1d
2024-09-19 00:00:00-04:00,705.0,715.6599731445312,695.3699951171875,704.3200073242188,704.3200073242188,4228500,0.0,0.0,2024-10-09,1mo,1d
2024-09-20 00:00:00-04:00,705.5499877929688,706.6699829101562,696.3099975585938,701.030029296875,701.030029296875,3998100,0.0,0.0,2024-10-09,1mo,1d
2024-09-23 00:00:00-04:00,702.3900146484375,712.25,699.1599731445312,705.3699951171875,705.3699951171875,3224300,0.0,0.0,2024-10-09,1mo,1d
2024-09-24 00:00:00-04:00,706.6300048828125,722.4400024414062,704.4500122070312,722.260009765625,722.260009765625,3565700,0.0,0.0,2024-10-09,1mo,1d
2024-09-25 00:00:00-04:00,721.0,725.1199951171875,716.2100219726562,721.5599975585938,721.5599975585938,2259800,0.0,0.0,2024-10-09,1mo,1d
2024-09-26 00:00:00-04:00,724.72998046875,725.260009765625,701.719970703125,711.4299926757812,711.4299926757812,2833000,0.0,0.0,2024-10-09,1mo,1d
2024-09-27 00:00:00-04:00,708.3599853515625,710.7100219726562,701.25,707.3499755859375,707.3499755859375,2395600,0.0,0.0,2024-10-09,1mo,1d
2024-09-30 00:00:00-04:00,707.0,711.2100219726562,702.8200073242188,709.27001953125,709.27001953125,1709900,0.0,0.0,2024-10-09,1mo,1d
2024-10-01 00:00:00-04:00,713.6400146484375,717.760009765625,698.5900268554688,706.1300048828125,706.1300048828125,2813500,0.0,0.0,2024-10-09,1mo,1d
2024-10-02 00:00:00-04:00,706.1300048828125,716.2100219726562,704.6900024414062,711.0900268554688,711.0900268554688,1758200,0.0,0.0,2024-10-09,1mo,1d
2024-10-03 00:00:00-04:00,704.260009765625,708.8099975585938,700.0,706.7999877929688,706.7999877929688,2256400,0.0,0.0,2024-10-09,1mo,1d
2024-10-04 00:00:00-04:00,713.3200073242188,721.010009765625,708.8200073242188,719.7000122070312,719.7000122070312,2229000,0.0,0.0,2024-10-09,1mo,1d
2024-10-07 00:00:00-04:00,714.760009765625,715.8800048828125,696.4299926757812,701.9199829101562,701.9199829101562,3360500,0.0,0.0,2024-10-09,1mo,1d
2024-10-08 00:00:00-04:00,703.8800048828125,725.0599975585938,703.5499877929688,721.760009765625,721.760009765625,3187400,0.0,0.0,2024-10-09,1mo,1d
2024-10-09 00:00:00-04:00,719.25,728.5900268554688,718.8699951171875,727.4299926757812,727.4299926757812,1979200,0.0,0.0,2024-10-09,1mo,1d
